"date","new_case","total_case","new_death","total_death","Population"
2020-01-13,1,1,0,0,68977400
2020-01-20,1,2,0,0,68977400
2020-01-27,6,8,0,0,68977400
2020-02-03,11,19,0,0,68977400
2020-02-10,13,32,0,0,68977400
2020-02-17,3,35,0,0,68977400
2020-02-24,0,35,0,0,68977400
2020-03-02,8,43,1,1,68977400
2020-03-09,7,50,0,1,68977400
2020-03-16,97,147,0,1,68977400
2020-03-23,574,721,0,1,68977400
2020-03-30,802,1523,8,9,68977400
2020-04-06,697,2220,17,26,68977400
2020-04-13,359,2579,14,40,68977400
2020-04-20,213,2792,7,47,68977400
2020-04-27,139,2931,5,52,68977400
2020-05-04,56,2987,2,54,68977400
2020-05-11,28,3015,2,56,68977400
2020-05-18,16,3031,0,56,68977400
2020-05-25,11,3042,1,57,68977400
2020-06-01,40,3082,0,57,68977400
2020-06-08,37,3119,1,58,68977400
2020-06-15,16,3135,0,58,68977400
2020-06-22,16,3151,0,58,68977400
2020-06-29,18,3169,0,58,68977400
2020-07-06,26,3195,0,58,68977400
2020-07-13,24,3219,0,58,68977400
2020-07-20,30,3249,0,58,68977400
2020-07-27,45,3294,0,58,68977400
2020-08-03,25,3319,0,58,68977400
2020-08-10,31,3350,0,58,68977400
2020-08-17,27,3377,0,58,68977400
2020-08-24,19,3396,0,58,68977400
2020-08-31,15,3411,0,58,68977400
2020-09-07,33,3444,0,58,68977400
2020-09-14,30,3474,0,58,68977400
2020-09-21,31,3505,1,59,68977400
2020-09-28,39,3544,0,59,68977400
2020-10-05,45,3589,0,59,68977400
2020-10-12,51,3640,0,59,68977400
2020-10-19,47,3687,0,59,68977400
2020-10-26,52,3739,0,59,68977400
2020-11-02,44,3783,0,59,68977400
2020-11-09,46,3829,1,60,68977400
2020-11-16,35,3864,0,60,68977400
2020-11-23,45,3909,0,60,68977400
2020-11-30,78,3987,0,60,68977400
2020-12-07,109,4096,0,60,68977400
2020-12-14,130,4226,0,60,68977400
2020-12-21,1052,5278,0,60,68977400
2020-12-28,995,6273,0,60,68977400
2021-01-04,2154,8427,5,65,68977400
2021-01-11,2108,10535,3,68,68977400
2021-01-18,1876,12411,4,72,68977400
2021-01-25,1264,13675,4,76,68977400
2021-02-01,5931,19606,2,78,68977400
2021-02-08,3939,23545,2,80,68977400
2021-02-15,1157,24702,2,82,68977400
2021-02-22,790,25492,1,83,68977400
2021-03-01,527,26019,1,84,68977400
2021-03-08,410,26429,1,85,68977400
2021-03-15,564,26993,2,87,68977400
2021-03-22,871,27864,4,91,68977400
2021-03-29,897,28761,3,94,68977400
2021-04-05,548,29309,1,95,68977400
2021-04-12,4289,33598,2,97,68977400
2021-04-19,9991,43589,7,104,68977400
2021-04-26,13766,57355,44,148,68977400
2021-05-03,13517,70872,128,276,68977400
2021-05-10,13980,84852,145,421,68977400
2021-05-17,26077,110929,193,614,68977400
2021-05-24,21131,132060,192,806,68977400
2021-05-31,27579,159639,225,1031,68977400
2021-06-07,20094,179733,238,1269,68977400
2021-06-14,19378,199111,197,1466,68977400
2021-06-21,22042,221153,192,1658,68977400
2021-06-28,28547,249700,276,1934,68977400
2021-07-05,39380,289080,342,2276,68977400
2021-07-12,55794,344874,515,2791,68977400
2021-07-19,70143,415017,631,3422,68977400
2021-07-26,97508,512525,724,4146,68977400
2021-08-02,120606,633131,1022,5168,68977400
2021-08-09,142824,775955,1185,6353,68977400
2021-08-16,152206,928161,1381,7734,68977400
2021-08-23,138472,1066633,1828,9562,68977400
2021-08-30,123277,1189910,1837,11399,68977400
2021-09-06,104459,1294369,1643,13042,68977400
2021-09-13,100234,1394603,1443,14485,68977400
2021-09-20,94430,1489033,984,15469,68977400
2021-09-27,82740,1571773,897,16366,68977400
2021-10-04,75436,1647209,742,17108,68977400
2021-10-11,73557,1720766,640,17748,68977400
2021-10-18,72893,1793659,560,18308,68977400
2021-10-25,65345,1859004,463,18771,68977400
2021-11-01,61032,1920036,461,19232,68977400
2021-11-08,55402,1975438,443,19675,68977400
2021-11-15,49162,2024600,378,20053,68977400
2021-11-22,46256,2070856,355,20408,68977400
2021-11-29,40557,2111413,298,20706,68977400
2021-12-06,33675,2145088,232,20938,68977400
2021-12-13,26803,2171891,228,21166,68977400
2021-12-20,22009,2193900,214,21380,68977400
2021-12-27,18354,2212254,190,21570,68977400
2022-01-02,17131,2229385,150,21720,68977400
2022-01-09,39992,2269377,105,21825,68977400
2022-01-16,54935,2324312,100,21925,68977400
2022-01-23,53015,2377327,107,22032,68977400
2022-01-30,55034,2432361,125,22157,68977400
2022-02-06,64467,2496828,134,22291,68977400
2022-02-13,96326,2593154,145,22436,68977400
2022-02-20,118988,2712142,188,22624,68977400
2022-02-27,157301,2869443,267,22891,68977400
2022-03-06,157079,3026522,344,23235,68977400
